序号,题目,难度,分数,题型,选项(A),选项(B),选项(C),选项(D),选项(E),答案,
45,现销最大热水机组能力是多少？,,,单选题,150KW,165KW,180KW,193KW,,D,
46,现行的热水机执行标准号是?,,,单选题,GB/T 21362-2008,GB 29541-2013,GB/T 21362-2023,GB 19577-2024,,C,
47,现行的热水机能效标准号是?,,,单选题,GB/T 21362-2008,GB 29541-2013,GB/T 21362-2023,GB 19577-2024,,C,
48,美的空气源热泵热水机组的水侧换热器是？,,,单选题,套管,壳管,板换,高效罐,,A,
49,不是美的空气源热泵热水机组水侧换热器的有？,,,多选题,套管,壳管,板换,高效罐,,BCD,
50,新上市的VE750热水机和VE900热水机标配了4G模块,,,是非题,正确,错误,,,,正确,
51,以下是美的空气源热泵热水机组的能力的是？,,,多选题,42KW,25KW,60KW,75KW,,AD,
52,循环式空气源热泵热水机机组为什么不推荐用在承压热水系统,,,单选题,无法直热，会破坏用水稳定性,开不了机,制热量减少,机组寿命不行,,A,
53,新上市的VE750机组内部有几个压缩机？,,,单选题,1,2,3,4,,B,
54,新上市的VE750机组压缩机用的是什么形式的？,,,单选题,转子压缩机,涡漩压缩机,螺杆压缩机,离心压缩机,,A,
55,目前变频烈焰（二代)系列中，单机能力最大是多少？,,,单选题,75KW制热量,165KW制热量,320KW制热量,480KW制热量,,D,
56,目前变频烈焰（二代)系列中，4800机组单个线控器可以最多控制多少台?,,,单选题,5台,8台,16台,32台,,A,
57,目前变频烈焰+系列中，5600机组单个线控器可以最多控制多少台?,,,单选题,5台,8台,16台,32台,,B,
58,采暖机组执行的标准号是？,,,单选题,GB/T 21362-2023,GB/T 18430.1-2024,GB/T 25127.1-2020,GB/T 19413-2024,,C,
59,采暖机组国标中要求的三个形式和水温是？,,,多选题,35℃，地暖型,41℃，风机盘管型,50℃，暖气片型,55℃，暖气片型,,ABC,
60,采暖机组国标中要求的制热工况有?,,,多选题,环温-12℃，出水41℃,环温-20℃，出水41℃,环温-12℃，出水45℃,环温-12℃，出水55℃,,AB,
61,以下哪些是不锈钢壳管的优势?,,,多选题,不容易结垢,不容易穿孔,清洗频次更低,容易维修,,ABC,
62,目前变频烈焰（二代)系列机型目前均标配4G模块,,,是非题,正确,错误,,,,正确,
63,目前变频烈焰（二代)系列机型目前均标配接水盘电加热带,,,是非题,正确,错误,,,,错误,
64,主销的定频烈焰1600，可以定制的承压压力是？,,,单选题,1.2Mpa,1.6Mpa,2.0Mpa,3.0Mpa,,B,
65,主销的定频烈焰1600，单台机组内有几个独立（氟）系统,,,单选题,1个,2个,3个,4个,,B,
66,主销的变频烈焰1650H3(T)机组，最低流量是？,,,单选题,4立方,8立方,16立方,32立方,,B,
67,MAV变频小精密系列的加湿类型为以下哪种？,,,单选题,湿膜加湿,电极加湿,红外加湿,以上都不是,,A,
68,MAV变频氟泵小精密系列的外机形式为以下哪种？,,,单选题,侧出风平板型外机,V型紧凑型外机,以上两种均有,,,C,
69,MAV变频氟泵小精密系列的电加热类型为以下那种？,,,单选题,热泵,金属电热丝,PTC,以上都不是,,C,
70,房间级精密空调风机下沉式安装时，静电地板的高度要求不低于？,,,单选题,300mm,450mm,600mm,无高度要求,,B,
71,我司目前在售的风冷变频氟泵空调的氟泵组件的安装位置在？,,,单选题,室内机,单独的氟泵柜,室外机,无该部件,,C,
72,MAV变频小精密系列支持单程管长最大到多少m？,,,单选题,20,40,60,100,,C,
73,GB 19576-2019对于计算机和数据处理机房用单元式空调机组，风冷式一级能效限定值为？,,,单选题,AEER≥4.0,AEER≥3.6,AEER≥3.0,AEER≥4.5,,A,
74,气氟一体列间空调使用的压缩机，压比最低能到？,,,单选题,1.05,1.1,1.12,1.15,,B,
75,我司目前在售MAH恒温恒湿机的温度控制范围为？,,,单选题,15℃~30℃,15℃~25℃,18℃~28℃,18℃~30℃,,C,
76,下列场景不属于MAU/D系列的使用场景的是？,,,单选题,档案馆/实验室,密闭场所且有稳定热源,配电间/电池间,控制温湿度的场所,,A,
77,风冷列间精密空调可满足的接管方式为？,,,多选题,上接管,下接管,左侧接管,右侧接管,,AB,
78,水冷精密空调在选型过程中必须要明确的工况参数包含以下哪些？,,,多选题,机组尺寸,回风温湿度,送风温湿度,进出水温,,BD,
79,风冷氟泵精密空调包含哪些运行模式？,,,多选题,机械模式,压泵模式,纯泵模式,其他,,ABC,
80,我司在售的房间级MA/C系列的送风形式包含？,,,多选题,上风帽送风,上接风管送风,静电地板下送风,水平送风,,ABC,
81,我司目前在售的精密空调的温湿度控制范围分别为？,,,多选题,温度±0.5℃,温度±1℃,湿度±5%,湿度±10%,,BC,
82,MAV变频小精密系列的能效等级均为一级能效,,,是非题,正确,错误,,,,正确,
83,氟泵类型机组均无需选配低温组件,,,是非题,正确,错误,,,,正确,
84,氟泵机组中的氟泵组件属于节能部件,,,是非题,正确,错误,,,,正确,
85,我司目前在售的MAH系列的节流方式为电子膨胀阀,,,是非题,正确,错误,,,,错误,
86,设计参数中的余压与送风方式及送风距离有关,,,是非题,正确,错误,,,,正确,
87,空调的冷负荷包括数据中心所有设备组件的发热量之和以及周围环境的热源这两个部分，下列选项发热量属于数据中心设备的发热量的是？,,,单选题,IT设备，UPS散热,新风系统带入的热量,人体散热量,围护结构传热,,A,
88,以下那种末端形式不属于近端制冷？,,,单选题,行级（列间）,风墙,背板,插框,,B,
89,以下选项中属于液冷系统发展的主要因素是？,,,单选题,占地面积小，提高数据机房出柜率,集成度高，系统维护方便,高密机柜数量的持续增加,建设成本低,,C,
90,GB50174-2017要求：冷通道/机柜进风区域温度不高于？,,,单选题,22℃,24℃,27℃,30℃,,C,
91,GB50174-2017要求：不间断电源系统电池室温度不高于？,,,单选题,24℃,28℃,30℃,35℃,,C,
92,GB50174-2017要求：A等级数据中心机房专用空调的配置原则是？,,,单选题,N+X（X=1~N）,N+1,N,其他,,A,
93,GB50174-2017标准将数据中心分为几个等级？,,,单选题,3,4,5,6,,A,
94,Uptime标准将数据中心分为几个等级？,,,单选题,3,4,5,6,,B,
95,当机柜进回风温差在11℃时，请计算1KW热量对应的风量是多少？,,,单选题,330m³/h,300m³/h,270m³/h,250m³/h,,C,
96,在液冷系统方案中我司目前可应对的类型为？,,,单选题,单相冷板式液冷方案,浸没式液冷方案,喷淋式液冷方案,相变冷板式液冷方案,,A,
97,数据中心设计常用的设计标准包括？,,,多选题,TIA942,GB50174,Uptime设计标准,TCECS 487,,ABCD,
98,水系统连续制冷设计，UPS需要带的部件有？,,,多选题,冷却水泵,冷机控制器,冷冻水泵,末端空调,,BCD,
99,按照算力类型划分，数据中心可以分为哪些类型？,,,多选题,算力数据中心,超算数据中心,智算数据中心,边缘数据中心,,ABCD,
100,数据中心基础设施都包含哪些部分组成？,,,多选题,IT设备,电源设备,制冷设备,动环设备（DCIM）,,ABCD,
101,以下属于数据中心用冷机的特点的是？,,,多选题,高出水温度,快速启动,全年制冷,0温差运行,,ABCD,
102,末端中高温风墙布局方案设计，必须有单独的空调设备间。,,,是非题,正确,错误,,,,正确,
103,GB50174中仅对A等级建设的数据中心暖通系统有连续制冷的要求。,,,是非题,正确,错误,,,,正确,
104,冷板式液冷系统中，冷板可以解决100%的热负荷，无需其他制冷耦合方案。,,,是非题,正确,错误,,,,错误,
105,美的高效机房的每台制冷主机需要配几个水管压力传感器？,,,单选题,1,2,3,4,,D,
106,一个有3台制冷机组的标准高效机房中，热量表至少有几台？,,,单选题,2,3,4,5,,D,
107,以下哪个不属于美控控制器产品？,,,单选题,E0,DDS,M0,PXC,,D,
108,美控的上位机软件叫什么名字？,,,单选题,WinCC,Desigo CC,KONG NZ,Metasys,,C,
109,在楼宇自控报价单中，自控产品不包括以下哪个？,,,单选题,无缝钢管,传感器,强弱电一体柜,上位机软件,,A,
110,以下哪个不属于楼宇自控的控制对象？,,,单选题,冷却水泵,摄像头,空调机组,锅炉,,B,
111,当冷冻供水温度高于目标设定值时，自控系统可以做什么？,,,单选题,多开一台冷水机组,降低冷冻泵运行频率,提高冷机出水目标值,不做任何操作,,A,
112,楼宇自控系统对制冷机房系统的监控，一般不包括以下哪项？,,,单选题,冷机出水温度智能设定,冷冻泵频率调节,冷却泵轴承振动幅度检测,冷却塔风机运行数量控制,,C,
113,在对末端水盘管空调箱进行控制时，以下哪个不是必须的？,,,单选题,风管温度传感器,调节型水阀,风阀执行器,风管CO传感器,,D,
114,以下关于楼宇自控系统中传感器的安装位置，说法错误的是？,,,单选题,水管温度传感器应插入水管1/3至1/2处,室外温湿度传感器应该需要阳光直射,电磁流量计安装应满足前10D后5D的直管段要求,水管压力传感器应该要斜45°安装,,B,
115,在制冷机房自控系统中，需要哪些常用的传感器？,,,多选题,水管温度传感器,水管压力传感器,室外温湿度传感器,室外光照度传感器,,ABC,
116,在末端组空的控制系统中，需要哪些产品？,,,多选题,调节水阀,控制柜,传感器,风阀执行器,,ABCD,
117,管道式电磁热量表包含哪些部分？,,,多选题,流量计,温度传感器,能量积分仪,压力传感器,,ABC,
118,自控系统调节水泵变频器的频率，可以用哪种形式？,,,多选题,无线WiFi,485通讯,4-20mA模拟量,0-10V模拟量,,BCD,
119,制冷机房自控系统中，如何判断需要多开一台冷机？,,,多选题,冷冻出水温度高于目标值,冷机运行负荷大于加机负荷设定值,距离上一台冷机开启已经超过延时时间,冷却泵频率运行最高,,ABC,
120,美控上位机软件，可以统计报警记录和数据记录。,,,是非题,正确,错误,,,,正确,
121,当冷冻供回水温差较大时，应该降低冷冻泵频率。,,,是非题,正确,错误,,,,错误,
122,防冻开关是用来避免冬季水盘管温度过低，输出报警信号的传感器。,,,是非题,正确,错误,,,,正确,
123,美的高效机房每台制冷主机冷冻支管的能量表可以取消。,,,是非题,正确,错误,,,,错误,
124,高效机房能耗监测时，冷冻泵和冷却泵的电表需要分别配置。,,,是非题,正确,错误,,,,正确,
125,高端酒店的空调需求特点不正确的是？,,,单选题,业态场景多,空调负荷大,部分区域有全年热负荷,客房有新风需求,,C,
126,酒店高大的大堂最有效的空调解决方案是？,,,单选题,全空气空调+新风系统,风机盘管+集中新风系统,多联机+集中新风系统,全空气空调+地板采暖系统,,D,
127,高端酒店客房噪音值一般控制在多少dB(A),,,单选题,37,36,35,34,,C ,
128,在寒冷地区酒店客房空调末端最理想的方式是？,,,单选题,分体空调,多联机室内机,风机盘管,风机盘管+地板采暖系统,,D,
129,一般场馆多功能厅应优先采用何种末端形式？,,,单选题,多联机室内机,组合式空调箱,风机盘管系统,吊顶式新风机组,,B,
130,大型水机输配管网优化中哪一项不是切入点,,,单选题,水泵工况效率,管道阻力,阀门是否为电动执行,管网不平衡率,,C,
131,高达空间场所空调送回风形式下列哪项不推荐采用？,,,单选题,制冷工况上送上回,制冷工况下送侧回,制热工况上送上回,制热工况侧送下回,,C,
132,高端酒店的空调需求特点不正确的是？,,,单选题,业态场景多,空调负荷大,部分区域有全年热负荷,客房有新风需求,,C,
133,连锁餐饮多联机系统中可采用哪些节能措施,,,多选题,室内机人感节能,多联机室外机喷淋系统,三管制多联机热回收技术,i管家,,ABCD,
134,酒店客房中空调系统噪音需要关注哪几个方面？,,,多选题,风机盘管设备,送回风管尺寸及接管长度,送回风口尺寸,保温方式,,ABC,
135,水源热泵空调系统的特点介绍正确的是？,,,多选题,属于可再生能源利用技术，效率高,可供暖，供冷及供应生活热水,供热工况下冷却端无化霜负担,适用于大部分项目,,ABC,
136,大型商场或高大场馆一般很少选用多联机系统或风机盘管系统是因为？,,,多选题,机外静压低,单机功率小,建筑吊顶要求高,投资高,,ABC,
137,区域能源站项目的投资主体是？,,,多选题,地方城投,央企,能源公司,设备厂商,,ABCD,
138,区域能源站相对于针对单体建筑冷热解决方案的优势有哪些？,,,多选题,可以实现多种能源互相补充,可以实现多种技术综合应用,有效减少总体设备装机容量,商业模式灵活,,ABCD,
139,设计方案为全空气空调系统的项目，一般情况下过渡季节最节能的运行方式是多机组低负荷运行,,,是非题,正确,错误,,,,错误,
140,针对方案层面进行最优组合配置所达到的节能潜力一般大于单一设备性能的提升,,,是非题,正确,错误,,,,正确,
141,风冷热泵机组可用于地板采暖系统,,,是非题,正确,错误,,,,正确,
142,若在严寒地区项目供暖保障性要求很高，则空气源热泵除了增加配置，没有其他措施,,,是非题,正确,错误,,,,错误,
143,商业综合体中的电影院业态一般设计成独立空调系统,,,是非题,正确,错误,,,,正确,
144,小王在优化某超高层建筑制冷机房系统时，为了节省机房面积将原高区系统通过增加平衡阀与低区系统改为共用一套分集水器,,,是非题,正确,错误,,,,错误,
145,医院放射科中的CT、DR通常采用什么空调？,,,单选题,多联机,精密空调,风机盘管,恒温恒湿空调,,A ,
146,MRI核磁共振通常用哪种形式的空调,,,单选题,机房精密空调,恒温恒湿机组,多联机,风机盘管,,B,
147,标准ISO14644中一般洁净手术室的洁净等级要达到多少,,,单选题,ISO 3级,ISO 7级,ISO 5级,ISO 1级,,B,
148,医院手术室通常是由哪个单位负责?,,,单选题,总承包单位,机电总包,暖通承包,净化总包,,D,
149,ISO 8级的换气次数应设置为多少,,,单选题,15-20,25-30,20-25,10-15,,D,
150,净化区新风集中处理不包含以下哪些好处？,,,单选题,深度除湿,减少循环机组再热量,人体舒适感更好,系统温湿度更稳定,,C,
151,医院中的生物信息机房一般采用什么空调,,,单选题,多联机,精密空调,风机盘管,恒温恒湿空调,,B,
152,学校图书馆档案馆通常用什么空调？,,,单选题,多联机,全空气系统,风机盘管,恒温恒湿空调,,D,
153,高大体育馆观众座位送风系统一般采用什么空气处理方式？,,,单选题,一次回风系统,二次回风系统,全新风系统,全回风系统,,B,
154,医院中央空调中的风机盘管如何满足满足PM2.5过滤效率≥90%，微生物一次性通过率≤10%，颗粒物一次计重通过率≤5%的要求？,,,多选题,初效过滤,中效过滤器,高效过滤器,静电除尘装置,,BD,
155,以下哪些是洁净度的影响因素,,,多选题,过滤效率,换气次数,房间正压,气流组织,,ABCD,
156,通常净化组空中包含什么功能段？,,,多选题,盘管段,再热段,加湿段,过滤段,,ABCD,
157,美的智慧医疗LIFE解决方案包含（）,,,多选题,交通流,信息流,体验流,能源流,,ABCD,
158,医院住院病房用能需求包括以下哪些？,,,多选题,制冷,供暖,生活热水,蒸汽,,ABC,
159,医院空调系统一般都有哪些空调类型？,,,多选题,舒适性空调,洁净空调,恒温恒湿空调,精密空调,,ABCD,
160,平急结合病区新、排风设备常采用什么方式解决变风量问题？,,,多选题,换皮带轮,风阀,风机台数,变频调节,,CD,
161,II级和III级手术室可以共用一个空调系统,正确,错误,是非题,正确,错误,,,,错误,
162,医院手术部全部采用洁净空调系统,,,是非题,正确,错误,,,,错误,
163,医院净化组空可以采用高压微雾的加湿方式。,,,是非题,正确,错误,,,,错误,
164,对空气处理的净化等级起决定作用的是最末端的过滤器,,,是非题,正确,错误,,,,正确,
165,制冷机房系统年综合能效定义是,,,单选题,制冷机房系统年总制冷和年总用电量的比值,空调系统总供冷功率和总用电功率的比值,空调系统运行时任意时间段测量的供冷量与用电量的比值,制冷系统运行时任意时间段测量得到的制冷量与用电量的比值,,A,
166,以下那个不是高效机房冷却塔优化选型措施,,,单选题,提高冷凝器冷却水侧的放热系数,增大冷却塔的型号,增加冷却塔变频风机,减小冷却塔的型号,,D,
167,高效制冷机房系统能效指标业内共识的高效机房的最低标准是多少,,,单选题,7,6,5,4,,C,
168,广东省以多少冷吨为界线划分了两种高效机房等级,,,单选题,400RT,500RT,600RT,700RT,,B,
169,美的高效机房群控的核心控制逻辑是什么,,,单选题,最佳能效寻优控制,人为控制,顺序控制,随机控制,,A,
170,高效机房初步方案图纸设计的流程是？,,,单选题,编辑器HVSP导出设计报告→CAD系统图快速绘制→CAD平面图快速绘制→导出暖通和自控清单,水泵及冷却塔厂家选型报告→鸿业软件计算管径→CAD绘制系统图平面图→人工统计清单,完全由总部同事主导对接,无流程,,A,
171,高效机房系统低阻力优化的应用的主要措施不含哪些？,,,单选题,主机两器水阻力优化,低阻力阀门阀件的应用,优化接管方式,增大两期水阻,,D,
172,哪些不是高效机房的设备选型建议要求？,,,单选题,冷水机组自带智能电表,水泵选型流量为冷水机组流量的2倍,水泵选型流量为冷水机组流量的1.05~1.1倍,冷却塔选用变流量喷头,,B,
173,美的高效机房机房平面设计核心要素不包含哪些？,,,单选题,达标达规,全生命周期的巡检/检修空间要求,美观性,随意性,,D,
174,高效机房不需要计量哪些设备的耗电功率？,,,单选题,冷水机组,冷冻水泵,冷却水泵,电灯,,D,
175,美的打造高效机房的解决方案主要有哪些,,,多选题,仿真模拟,优化设计,控制系统,高效建造,智慧运维,ABCDE,
176,高效机房系统精细化调试的主要内容有哪些,,,多选题,单机设备的调试,控制系统的调试,水（热）平衡调试,系统联调,能效验证,ABCDE,
177,美的高效机房机房水泵结构形式最常用是那两种？,,,多选题,卧式双吸水泵,立式泵,端吸泵,,,AB,
178,“并联系统设计”相对于“一对一系统设计”有哪些缺点?,,,多选题,管网阻力较大,冷水机组水流分配不均匀,需要增加冷水机组电动蝶阀及控制点位,在满足高效机房传感器配置的前提下，并联系统成本更高,,ABCD,
179,美的标准的高效机房具有哪些特征？,,,多选题,美的主机,美的控制,美的软件及控制器程序,水泵与主机一对一连接,,ABCD,
180,目前可视化编辑器HVSP可以完成机房内水力计算？,,,是非题,正确,错误,,,,正确,
181,高效机房自控系统包括制冷主机？,,,是非题,正确,错误,,,,错误,
182,高效机房自控系统中常用的通讯是WIFI连接？,,,是非题,正确,错误,,,,错误,
183,高效机房传感器精度要求标准高于常规机房精度要求标准？,,,是非题,正确,错误,,,,正确,
184,高效制冷机房商务合作模式可以采用技术咨询服务、设备销售、能效担保EPC、投资运营BOT等多种模式？,,,是非题,正确,错误,,,,正确,
185,MDSP新升级8760高效机房冷却塔系统形式是？,,,单选题,一机一塔,多机一塔,冷却塔组,不设冷却塔,,C,
186,MDSP新办公8760负荷采用几区模型？,,,单选题,1,3,5,8,,C,
187,MDSP未实现和什么机型loadline打通？,,,单选题,磁悬浮离心机,齿轮定频离心机,水冷螺杆,风冷大涡漩,,D,
188,MDSP8760对应loadline的冷却水进水温度跟什么直接相关？,,,单选题,全年冷冻水温度,全年湿球温度,全年干球温度,全年含湿量,,B,
189,MDSP8760模拟冷冻水泵扬程组成跟哪个无关？,,,单选题,冷凝器压降,蒸发器压降,机房内冷冻水阻力,机房外冷冻水阻力,,A,
190,下面哪个值是MDSP设置合理的水泵运行最低转速比？,,,单选题,90%,60%,30%,10%,,B,
191,MDSP主机最低流量率默认值是多少？,,,单选题,70%,50%,30%,10%,,B,
192,MDSP可以利用哪种逻辑模拟自控不完善按顺序开启机组的老旧机房,,,单选题,系统效率寻优逻辑,优先顺序启停逻辑,全变频逻辑,蓄冷控制逻辑,,B,
193,MDSP已实现哪些模拟功能？,,,多选题,普通机房,高效机房,冰蓄冷,空气源制热,,ABCD,
194,MDSP运行策略包含哪些设置？,,,多选题,群控策略,系统设计工况,冷却塔设计参数,变水温控制策略,,ABCD,
195,MDSP根据主机填写数据可以自动匹配哪些设备参数？,,,多选题,冷冻水泵,冷却水泵,冷却塔,水处理装置,,ABC,
196,MDSP8760模拟冷却水泵扬程组成是下面哪些参数构成的？,,,多选题,冷凝器压降,蒸发器压降,机房内冷却水阻力,机房外冷却水阻力,,ACD,
197,MDSP内置了哪些负荷业态,,,多选题,办公,酒店,医院,公寓,,ABCD,
198,MDSP不可以导入电价进行运行费用分析,,,是非题,正确,错误,,,,错误,
199,MDSP软件不支持多方案比较,,,是非题,正确,错误,,,,错误,
200,MDSP可以指定尖峰负荷生成8760负荷,,,是非题,正确,错误,,,,正确,
201,8760高效机房模拟默认使用系统效率最优逻辑,,,是非题,正确,错误,,,,正确,
202,MDSP蓄冷默认采用的是逐月典型日法,,,是非题,正确,错误,,,,正确,
203,下面哪个是静态冰形式,,,单选题,盘管内融冰,动态冰浆,片冰滑落式,过冷水式,,A,
204,现在最主流的蓄冰形式是什么,,,单选题,盘管静态冰,动态冰浆,片冰滑落式,过冷水式,,A,
205,下面哪个不是冰蓄冷系统的常见基础运行模式？,,,单选题,蓄冰模式,融冰模式,边蓄边供模式,联合模式,,C,
206,蓄冰模式下，哪个是一二次泵的定压装置？,,,单选题,板式换热器,蓄冰池,冷却水泵,双工况机组,,B,
207,下面哪种不是封装冰的常见形式？,,,单选题,冰浆,冰球,冰板,蕊芯球,,A,
208,蓄冷池高度与二次泵吸入侧压降关系为？,,,单选题,大于,小于,等于,不大于,,A,
209,下面哪种是最常见的防止所蓄冷水与回流热水的混合的方法？,,,单选题,多蓄水罐法,迷宫法,隔板法,自然分层法,,D,
210,水蓄冷蓄冷量跟哪个没有关系？,,,单选题,容积,温差,蓄冷时间,主机空调工况温度,,D,
211,盘管式制冰中常见的盘管有哪些？,,,多选题,蛇形盘管,圆形（螺旋）盘管,导热塑料盘管,U型盘管,,ABCD,
212,下面哪些是蓄冷的基础模式,,,多选题,蓄冷模式,释冷模式,联合模式,空调模式,,ABCD,
213,下面哪些是外融冰系统的常见特点？,,,多选题,融冰速度快,系统结构复杂,适合于大温差、低温供冷系统,出水温度高,,ABC,
214,下面哪些是防止所蓄冷水与回流热水的混合的方法？,,,多选题,多主机配置,迷宫法,隔板法,自然分层法,,BCD,
215,蓄冷需要着重考虑哪些前提条件？,,,多选题,负荷分布,楼层高度,占地空间,峰谷电价,,ACD,
216,蓄冷系统能节省很多耗电量,,,是非题,正确,错误,,,,错误,
217,下图是主机上游串联系统形式,,,是非题,正确,错误,,,,错误,
218,水蓄冷常见蓄冷工况主机出水温度为4℃,,,是非题,正确,错误,,,,正确,
219,冰蓄冷常见蓄冷工况主机出水温度为-5.6℃,,,是非题,正确,错误,,,,正确,
220,水蓄冷系统一定需要基载机,,,是非题,正确,错误,,,,错误,
221,符合公司要求的收款类型为：,,,多选题,银行电汇,集团白名单以内的银行承兑汇票,商业承兑汇票,支票,,AB,
222,涉外、PAM执行等不在Salesmart产生提货的新增签约，需维护的签约类型,,,单选题,仅做签约管理,一般工程项目,渠道流水项目,美通能源项目,,D,
